id,lat,lon,n_trigger_events,lambda,trigger_probability,expected_loss,premium
px_000138,35.15,6.85,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000139,35.15,6.95,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000140,35.15,7.05,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000141,35.15,7.15,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000142,35.15,7.25,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000143,35.15,7.35,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000144,35.15,7.45,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000145,35.15,7.55,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000146,35.15,7.65,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000147,35.15,7.75,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000148,35.15,7.85,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000149,35.15,7.95,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000150,35.15,8.05,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000151,35.15,8.15,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000152,35.15,8.25,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000153,35.15,8.35,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000154,35.15,8.45,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000155,35.15,8.55,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000156,35.15,8.65,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000157,35.15,8.75,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000158,35.15,8.85,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000159,35.15,8.95,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000160,35.15,9.05,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000161,35.15,9.15,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000162,35.15,9.25,3,0.1,0.09516258196404048,95.16258196404048,114.19509835684858
px_000163,35.15,9.35,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000164,35.15,9.45,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000165,35.15,9.55,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000166,35.15,9.65,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
