id,lat,lon,n_trigger_events,lambda,trigger_probability,expected_loss,premium
px_000173,44.25,12.35,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000174,44.25,12.45,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000175,44.25,12.55,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000176,44.25,12.65,3,0.15,0.1392920235749422,696.4601178747109,870.5751473433886
px_000177,44.25,12.75,3,0.15,0.1392920235749422,696.4601178747109,870.5751473433886
px_000178,44.25,12.85,3,0.15,0.1392920235749422,696.4601178747109,870.5751473433886
px_000179,44.25,12.95,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000180,44.35,7.05,0,0.0,0.0,0.0,0.0
px_000181,44.35,7.15,0,0.0,0.0,0.0,0.0
px_000182,44.35,7.25,0,0.0,0.0,0.0,0.0
px_000183,44.35,7.35,0,0.0,0.0,0.0,0.0
px_000184,44.35,7.45,0,0.0,0.0,0.0,0.0
px_000185,44.35,7.55,0,0.0,0.0,0.0,0.0
px_000186,44.35,7.65,0,0.0,0.0,0.0,0.0
px_000187,44.35,7.75,0,0.0,0.0,0.0,0.0
px_000188,44.35,7.85,0,0.0,0.0,0.0,0.0
px_000189,44.35,7.95,0,0.0,0.0,0.0,0.0
px_000190,44.35,8.05,0,0.0,0.0,0.0,0.0
px_000191,44.35,8.15,0,0.0,0.0,0.0,0.0
px_000192,44.35,8.25,0,0.0,0.0,0.0,0.0
px_000193,44.35,8.35,0,0.0,0.0,0.0,0.0
px_000194,44.35,8.45,0,0.0,0.0,0.0,0.0
px_000195,44.35,8.55,0,0.0,0.0,0.0,0.0
px_000196,44.35,8.65,0,0.0,0.0,0.0,0.0
px_000197,44.35,8.75,0,0.0,0.0,0.0,0.0
px_000198,44.35,8.85,0,0.0,0.0,0.0,0.0
px_000199,44.35,8.95,0,0.0,0.0,0.0,0.0
px_000200,44.35,9.05,0,0.0,0.0,0.0,0.0
px_000201,44.35,9.15,0,0.0,0.0,0.0,0.0
px_000202,44.35,9.25,0,0.0,0.0,0.0,0.0
px_000203,44.35,9.35,0,0.0,0.0,0.0,0.0
px_000204,44.35,9.45,0,0.0,0.0,0.0,0.0
px_000205,44.35,9.55,0,0.0,0.0,0.0,0.0
px_000206,44.35,9.65,0,0.0,0.0,0.0,0.0
px_000207,44.35,9.75,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000208,44.35,9.85,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000209,44.35,9.95,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000210,44.35,10.05,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000211,44.35,10.15,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000212,44.35,10.25,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000213,44.35,10.35,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000214,44.35,10.45,0,0.0,0.0,0.0,0.0
px_000215,44.35,10.55,0,0.0,0.0,0.0,0.0
px_000216,44.35,10.65,0,0.0,0.0,0.0,0.0
px_000217,44.35,10.75,0,0.0,0.0,0.0,0.0
px_000218,44.35,10.85,0,0.0,0.0,0.0,0.0
px_000219,44.35,10.95,0,0.0,0.0,0.0,0.0
px_000220,44.35,11.05,0,0.0,0.0,0.0,0.0
px_000221,44.35,11.15,0,0.0,0.0,0.0,0.0
px_000222,44.35,11.25,0,0.0,0.0,0.0,0.0
px_000223,44.35,11.35,0,0.0,0.0,0.0,0.0
px_000224,44.35,11.45,0,0.0,0.0,0.0,0.0
px_000225,44.35,11.55,0,0.0,0.0,0.0,0.0
px_000226,44.35,11.65,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000227,44.35,11.75,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000228,44.35,11.85,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000229,44.35,11.95,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000230,44.35,12.05,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000231,44.35,12.15,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000232,44.35,12.25,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000233,44.35,12.35,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000234,44.35,12.45,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000235,44.35,12.55,3,0.15,0.1392920235749422,696.4601178747109,870.5751473433886
px_000236,44.35,12.65,3,0.15,0.1392920235749422,696.4601178747109,870.5751473433886
px_000237,44.35,12.75,3,0.15,0.1392920235749422,696.4601178747109,870.5751473433886
px_000238,44.35,12.85,3,0.15,0.1392920235749422,696.4601178747109,870.5751473433886
px_000239,44.35,12.95,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000240,44.45,7.05,0,0.0,0.0,0.0,0.0
px_000241,44.45,7.15,0,0.0,0.0,0.0,0.0
px_000242,44.45,7.25,0,0.0,0.0,0.0,0.0
px_000243,44.45,7.35,0,0.0,0.0,0.0,0.0
px_000244,44.45,7.45,0,0.0,0.0,0.0,0.0
px_000245,44.45,7.55,0,0.0,0.0,0.0,0.0
px_000246,44.45,7.65,0,0.0,0.0,0.0,0.0
px_000247,44.45,7.75,0,0.0,0.0,0.0,0.0
px_000248,44.45,7.85,0,0.0,0.0,0.0,0.0
px_000249,44.45,7.95,0,0.0,0.0,0.0,0.0
px_000250,44.45,8.05,0,0.0,0.0,0.0,0.0
px_000251,44.45,8.15,0,0.0,0.0,0.0,0.0
px_000252,44.45,8.25,0,0.0,0.0,0.0,0.0
px_000253,44.45,8.35,0,0.0,0.0,0.0,0.0
px_000254,44.45,8.45,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000255,44.45,8.55,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000256,44.45,8.65,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000257,44.45,8.75,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000258,44.45,8.85,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000259,44.45,8.95,0,0.0,0.0,0.0,0.0
px_000260,44.45,9.05,0,0.0,0.0,0.0,0.0
px_000261,44.45,9.15,0,0.0,0.0,0.0,0.0
px_000262,44.45,9.25,0,0.0,0.0,0.0,0.0
px_000263,44.45,9.35,0,0.0,0.0,0.0,0.0
px_000264,44.45,9.45,0,0.0,0.0,0.0,0.0
px_000265,44.45,9.55,0,0.0,0.0,0.0,0.0
px_000266,44.45,9.65,0,0.0,0.0,0.0,0.0
px_000267,44.45,9.75,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000268,44.45,9.85,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000269,44.45,9.95,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000270,44.45,10.05,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000271,44.45,10.15,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000272,44.45,10.25,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000273,44.45,10.35,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000274,44.45,10.45,0,0.0,0.0,0.0,0.0
px_000275,44.45,10.55,0,0.0,0.0,0.0,0.0
px_000276,44.45,10.65,0,0.0,0.0,0.0,0.0
px_000277,44.45,10.75,0,0.0,0.0,0.0,0.0
px_000278,44.45,10.85,0,0.0,0.0,0.0,0.0
px_000279,44.45,10.95,0,0.0,0.0,0.0,0.0
px_000280,44.45,11.05,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000281,44.45,11.15,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
